Date,Event,Count,Notes,Location
Sept. 21,Celliola,150,,Little Bridges
Sept. 24,Francisco Aguabella,75-82,Fluid movement,Lyman Hall
Sept. 28,Davitt Moroney,124,,Little Bridges
Oct. 4,Millennium Consort Singers,250,,Little Bridges
Oct. 11,Pomona College Orchestra,245,,Little Bridges
Oct. 12,Pomona College Orchestra,282,,Little Bridges
Oct. 25,Pelev/Ashcraft,130,,Little Bridges
Oct. 29,Student Recital,80,Fluid movement,Lyman Hall
Nov. 2,William Peterson,120,by Graydon in audience,Little Bridges
Nov. 3,Amir ElSaffar Lecture/Demo,15,Monday after Halloween/first of month,Lyman Hall
Nov. 15,Wright & Moss,108,Fires,Little Bridges
Nov. 16,Gomez/Preston Jr./Sr. Recital,cancelled,,Lyman Hall
Nov. 19,Viver Brasil Demonstration/Lect,?,,Lyman Hall
Nov. 21,Pomona College Band,100,,Little Bridges
Nov. 23,Pomona College Band,113,,Little Bridges
Dec. 1,Pomona College Afro-Cuban Ensemble,120,,Lyman Hall
Dec. 5,Pomona College Choir,398,messiah,Little Bridges
Dec. 6,Pomona College Orchestra,?,,Garrison Theatre
Dec. 7,Pomona College Choir,558,messiah,Little Bridges
Dec. 7,Pomona College Orchestra,?,,Garrison Theatre
Dec. 8,Giri Kusuma,~150,,Little Bridges
Dec. 9,Student Recital,?,,Lyman Hall
Dec. 10,Student Recital,?,,Lyman Hall
