Date,Event,Count,Notes,Location
Sept. 20,Celliola,184,,Little Bridges
Oct. 3,G. Lee,189,,Little Bridges
Oct. 10,Orchestra,273,,Little Bridges
Oct. 11,Orchestra,266,,Little Bridges
Oct. 28,Student Recital,50,,Lyman Hall
Nov. 1,Baroque Recital,176+,,Little Bridges
Nov. 1,EnsembleGREEN,70,,Little Bridges
Nov. 8,Sanders & Friends,172,,Little Bridges
Nov. 13,PC Band,142,,Little Bridges
Nov. 14,Millennium Consort S.,196,,Little Bridges
Nov. 15,PC Band,178,,Little Bridges
Nov. 21,Cord a vide,110,,Little Bridges
Nov. 30,Afro-Cuban,130,,Lyman Hall
Dec. 4,Choir,287,,Little Bridges
Dec. 5,Orchestra,,,Garrison Theater
Dec. 6,Choir,278,,Little Bridges
Dec. 6,Orchestra,150,,Garrison Theater
Dec. 7,Gamelan,210,,Little Bridges
Dec. 8,Student Recital,,,Lyman Hall
Dec. 9,Student Recital,,,Lyman Hall
,,,,
Feb.  6,Ussachevsky,150,,Lyman Hall
Feb. 12,Bluegrass,425,Family Weekend,Little Bridges
Feb. 13,Kohn & Kohn,269,Family Weekend,Little Bridges
Feb. 19,Ming Tsu,81,Friday/Cold & Rainy,Little Bridges
Feb. 21,Todor Pelev,173,,Little Bridges
Feb. 24,Student Recital,75,,Lyman Hall
Feb. 26,Lytle & Lee,104,,Little Bridges
Feb. 28,Lebow & Blankenburg,160,,Little Bridges
Mar. 6,Orchestra,190,rainy & cold,Little Bridges
Mar. 7,Orchestra,132,Academy Awards night,Little Bridges
Mar. 28,Organ - Peterson,284,,Little Bridges
Mar. 31,Ognibene & ,80,late org & lightly publicized @ 7pm,Little Bridges
Ap.2,Senior - Kim,158,,Little Bridges
Ap. 7,Student Recital,70,LONG,Lyman Hall
Ap. 9,Los Pleneros de la 21,0,cancelled,
Ap. 10,Senior - Welds,100,,Lyman Hall
Ap. 18,Senior - Preston,100,,Lyman Hall
Ap. 23,Orch & Choir,435,,Little Bridges
Ap. 25,Orch & Choir,455,,Little Bridges
Ap. 26,Afro-Cuban,100,,Lyman Hall
Ap. 27,Jazz Ens.,0,cancelled,
Ap. 29,Glee Club,230,,Little Bridges
May 1,Glee Club,371,alumni weekend,Little Bridges
May 1,Band,301,alumni weekend,Little Bridges
May 2,Band,87,,Little Bridges
May 3,Gamelan,248,ran out of programs,Little Bridges
May 4,Student Recital,,,Lyman Hall
May 5,Student Recital,,,Lyman Hall
,,,,
,,,,
OTHER:,,,,
May 2,Memorial Service,90,Alumni Weekend,Little Bridges
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
