Date,Event,Count,Notes,Location
Feb. 6,Friday Noon Concert,100,rainy,Lyman Hall
Feb. 7,Lee Recital,234,Valentines Day / family wkend,Little Bridges
Feb. 14,Bradford and Mo'Tet,292,,Little Bridges
Feb. 18,Korean Trio,70,,Lyman Hall
Feb. 20,Ussachevsky,~230,Academy Awards day,Lyman Hall
Feb. 22,20th & 21st C. Chamber Music,104,at one time - up to 100 total,Little Bridges
Feb. 25,Student Recital,35,,Lyman Hall
Feb. 27,Pomona College Orchestra,260,,Little Bridges
March. 1,Pomona College Orchestra,215,,Little Bridges
Mar. 4,Kenny Endo Lect/Demo,125,,Lyman Hall
Mar. 6,Ranz & Friends Chamber Music,90,,Little Bridges
Mar. 7,Jr. Recital / Welds & Guitar Quartet,100,,Lyman Hall
Mar. 8,"Wm. Peterson, Bach",182,,Little Bridges
Mar. 9,A. Troitsky Lecture,25,,Lyman Hall
Mar. 28,"Berman, piano",221,,Little Bridges
Mar. 29,"Lytle & Lee, 'Women's Voices'",61,,Little Bridges
Mar. 31,Senior Recital / Dietterich,135,at one time - up to 100 total,Lyman Hall
Ap. 1,Student Recital,35,,Lyman Hall
Ap. 3,Sr. Recital / G. Chen,57,,Little Bridges
Ap. 4,Albert McNeil Jubilee Singers,335,,Little Bridges
Ap. 5,Mojave Trio,82,,Little Bridges
Ap. 11,Sr. Recital / Heath,77,,Little Bridges
Ap. 12,Sr. Recital / Nuchi,100,,Little Bridges
Ap. 17,Yoon-Chan Kim (Jr. Recital),80,,Lyman Hall
Ap. 18,Sr. Recital / Randall-Myers,106,,Lyman Hall
Ap. 24,PC Choir & Orchestra,275,,Little Bridges
Ap. 25,Sr. Recital / Silva,250,,Lyman Hall
Ap. 26,PC Choir & Orchestra,367,,Little Bridges
Ap. 27,Afro-Cuban Ensemble,130,,Lyman Hall
Ap. 30,Pomona College Glee Club,181,Alumni Weekend,Little Bridges
May. 2,Pomona College Glee Club,470,Alumni Weekend,Little Bridges
May. 2,Pomona College Band,304,,Little Bridges
May. 3,Pomona College Band,109,,Little Bridges
May. 4,Giri Kusuma,,,Little Bridges
May. 5,Student Recital,70,,Lyman Hall
May. 6,Student Recital,50,,Lyman Hall
May. 7,Taiko,65,,Lyman Hall
May. 10,Minofest:,75,Commencement Event,Lyman Hall
May. 15,Ph iBeta Kappa Installation,270,Glee sings / Alumni Weekend,Lyman Hall
3-May,Memorial Convocation,73,,
