Day/Date,Time,Event,Count,Notes,Location
Sun Sept 11,3:00 PM,Celliola,198? ,,Little Bridges
Fri. Sept. 16,8:00 PM,Hampson,455,,Little Bridges
Sun. Sept. 25,3:00 PM,Peterson Lec/Rec,124,Gardens had their annual memorial event at the same time,Little Bridges
Fri. Sept. 30,8:00 PM,Pelev & Lebow,180,,Little Bridges
Sat. Oct. 1,8:00 PM,Lee - solo rec.,181,,Little Bridges
Sat. Oct. 8,8:00 PM,Orchestra,281,Yom Kippur weekend,Little Bridges
Sun. Oct. 9,3:00 PM,Orchestra,275,556,Little Bridges
Wed. Nov. 2,8:15 PM,Student Recital,c. 65,,Lyman Hall
Sat. Nov. 5,8:00 PM,Cornucopia,163,,Little Bridges
Sun. Nov. 6,3:00 PM,Hammers & Sticks  Piano & Percussion,146,Cold & rainy,Little Bridges
Sun. Nov. 13,3:00 PM,Chirgilchin,525,nice,Little Bridges
Fri. Nov. 18,8:00 PM,Band,125,,Little Bridges
Sat. Nov. 19,8:00 PM,Nitzan Sr. Recital,,,Lyman Hall
Sun. Nov. 20,3:00 PM,Band,149,rainy afternoon,Little Bridges
"Mon. Nov, 28",8:00 PM,Mbria,68,,Lyman Hall
Fri. Dec. 2,8:00 PM,PCC,304,,Little Bridges
Sat. Dec. 3,8:00 PM,PC Orchestra,c. 200,,Garrison Theater
Sun. Dec. 4,3:00 PM,PCC,294,,Little Bridges
Sun. Dec. 4,8:00 PM,PC Orchestra,?,,Garrison Theater
Mon. Dec. 5,8:00 PM,PC Gamelan,147,,Little Bridges
Tues. Dec. 6,7:00 PM,Student Recital,?,,Lyman Hall
Wed. Dec. 7,7:00 PM,Student Recital,?,,Lyman Hall
,,,,,
Fri. Feb. 3,8:00 PM,Ussachevsky,?,,Lyman Hall
Sat. Feb. 4,8:00 PM,Ussachevsky,107,,Little Bridges
Tues. Feb. 7,4:30 PM,Jazz,?,,Lyman Hall
Sun. Feb. 12,3:00 PM,Christoph Bull,201,,Little Bridges
Sat. Feb. 18,8:00 PM,MCS & PCC,396,,Little Bridges
Wed. Feb. 22,8:15 PM,Student Recital,c. 35,,Lyman Hall
Sun. Feb. 26,3:00 PM,Trans-Atlantic,220,,Lyman Hall
Fri. March 2,8:00 PM,Orchestra & Sheu,250,,Little Bridges
Sat. March 3,8:00 PM,Messiaen & Crockett (lee),141,,Little Bridges
Sun. March 4,3:00 PM,Orchestra & Sheu,296,,Little Bridges
Wed. March 7,8:15 PM,The Virginia Glee Club,143,,Little Bridges
Wed. March 21,8:15 PM,Cusito ,56,last minute - afro-cuban drummer,Lyman Hall
Sat. March 24,8:00 PM,Annabell Guaita,119,20th century music,Little Bridges
Sun. March 25,3:00 PM,William Peterson,144,Rainy,Little Bridges
Wed. March 28,8:15 PM,Student Recital,43,,Lyman Hall
Fri. March 30,8:00 PM,C. Bacon Sr. Recital,63,,Lyman Hall
Sat. March 31,8:00 PM,Gwendolyn Lytle,57,,Little Bridges
Sun. April 1,3:00 PM,Musekiwa Chingodza,71,mbira artist,Little Bridges
Fri. April 6,8:00 PM,B. Nitzan Sr. Recital,78,,Lyman Hall
Sat. April 7,8:00 PM,"R. Sheu, Soph Recital",58,,Lyman Hall
Sun. April 8,3:00 PM,"S. Jespersen, Sr. Recital",?,Easter Sunday,Lyman Hall
Fri. April 13,7:00 PM,G. Friedman Recital,180,,Lyman Hall
Sat. April 14,8:00 PM,"C. Henderson, Sr. Recital",64,,Lyman Hall
Fri. April 20,8:00 PM,Choir & Orch,267,,Little Bridges
Sun. April 22,3:00 PM,Choir & Orch,291,w/post-concert reception in garden,Little Bridges
Mon. April 23,8:00 PM,Mbira Ens,56,,Lyman Hall
Thurs. April 26,8:00 PM,Glee Club,165,,Little Bridges
Fri. April 27,8:00 PM,Jazz Tribute,138,,Lyman Hall
Sat. April 28,11:15 AM,Band,255,,Little Bridges
Sat. April 28,1:30 PM,Glee Club,427,,Little Bridges
Sun. April 29,9:30 AM,Memorial Conv,87,,Little Bridges
Sun. April 29,8:00 PM,Band,91,,Little Bridges
Mon. April 30,8:00 PM,Gamelan,164,,Little Bridges
Tues. May 1,7:00 PM,Student Recital,66,,Lyman Hall
Wed. May 2,7:00 PM,Student Recital,47,,Lyman Hall
Sun. May 6,8:00 PM,MicroFest,47,,Lyman Hall
Fri. May 11,3:30 PM,Baccalaureate,390,,Little Bridges
Fri. May 11,5:00 PM,Phi Beta Kappa,203,,Lyman Hall
Sat. May 12,8:00 PM,PCGC Concert,c175,"Arts Event for Grads, Family & Campus",Little Bridges
