Date,Time,Event,Count,Notes,Location
9/16/12,3:00 PM,Celliola,100,HOT,Little Bridges
9/22/12,8:00 PM,Lee - Keyboard Kal,152,looked like better attend. Numbers,Little Bridges
9/28/12,8:00 PM,Kleinecke-Boyer,187-plus,unable to get good opening count when doors opened,Little Bridges
9/30/12,3:00 PM,Peterson,Cancelled,,
10/6/12,8:00 PM,Wright/Moss,142,ran out of programs,Little Bridges
10/7/12,3:00 PM,Calambache,160,,Little Bridges
10/13/12,10:30 AM,Benjamin Memorial,194,,Little Bridges
10/13/12,8:00 PM,PCO,309,,Little Bridges
10/14/12,3:00 PM,PCO,355,Founders Day celebration 664,Little Bridges
10/26/12,8:00 PM,Cornucopia,143,,Little Bridges
10/27/12,8:00 PM,Cage-O-Rama,96,Harwood Halloween/Village Vent,Little Bridges
10/28/12,,Memorial,215,,Little Bridges
10/31/12,7:00 PM,Stud. Recital,41,,Lyman Hall
11/3/12,8:00 PM,Kallay & Inoo,84,,Little Bridges
11/10/12,8:00 PM,Third Coast Perc.,113,Childish Gambino @ Bridged Aud,Little Bridges
11/11/12,3:00 PM,Third Coast Perc.,163,,Little Bridges
11/16/12,8:00 PM,Band,101,,Little Bridges
11/17/12,8:00 PM,Katie Bent,204-plus,,Lyman Hall
11/18/12,3:00 PM,Band,118,,Little Bridges
11/30/12,8:00 PM,Choir,270 - looked like 350,,Little Bridges
12/2/12,3:00 PM,Choir,272,rainy,Little Bridges
12/3/12,8:00 PM,Afro-Cuban,,,Lyman Hall
12/5/12,8:00 PM,Jazz,unknown,,Lyman Hall
12/8/12,8:00 PM,Orchestra,unknown,Looked like a good audience,Garrison
12/9/12,3:00 PM,Orchestra,unknown,,Garrison
12/10/12,8:00 PM,Gamelan,135,,Little Bridges
12/11/12,7:00 PM,Stud. Recital,50,,Lyman Hall
12/12/12,7:00 PM,Stud. Recital,33,,Lyman Hall
,,,,,
1/27/13,3:00 PM,Peterson,153,,Little Bridges
2/1/13,8:00 PM,Ussachevsky,60,,Lyman Hall
2/2/13,3:00 PM,Ussachevsky L/D,31,,Lyman Hall
2/2/13,8:00 PM,Ussachevsky,66,,Lyman Hall
2/8/13,8:00 PM,Pelev,74,rainy and cold,Little Bridges
2/9/13,8:00 PM,Eclipse Quartet,121,,Little Bridges
2/15/13,8:00 PM,Bluegrass,539,parents weekend,Little Bridges
2/16/13,3:00 PM,PC Talent show,323,(not a music dept. event),Little Bridges
2/16/13,8:00 PM,Kohn Music,164,parents weekend,Little Bridges
2/17/13,,Latino/Chic. Conv,240,(not a music dept. event),Little Bridges
2/20/13,8:15 PM,Student Recital,41,,Lyman Hall
2/22/13,8:00 PM,Evarkiou-Kaku Jr.,45,,Lyman Hall
2/23/13,8:00 PM,Lee Quartet,161,,Little Bridges
3/1/13,8:00 PM,Orchestra,391,,Little Bridges
3/3/13,3:00 PM,Orchestra,290,Eric said looked bigger,Little Bridges
3/5/13,4:30 PM,Jazz,115,,Lyman Hall
3/7/13,9:00 PM,"Appleton, piano",33,,Lyman Hall
3/8/13,8:00 PM,Bent & De Winkle,78,,Lyman Hall
3/10/13,3:00 PM,Bradford and the Mo'Tet,243,,Little Bridges
3/30/13,8:00 PM,Sheu/Chang,105,Jr. recital,Lyman Hall
4/3/13,8:00 PM,"Student, Generic Rec.",74,Beeth Trio,Lyman Hall
4/6/13,8:00 PM,CalArts West African,134,,Little Bridges
4/7/13,3:00 PM,Lytle & Friends,77,,Little Bridges
4/12/13,8:00 PM,Student/Music of Appleton,,,Lyman Hall
4/13/13,8:00 PM,Hannigan,77,No-Chella concert @ SMC,Little Bridges
4/14/13,3:00 PM,Lebow & Blankenburg,143,,Little Bridges
4/19/13,,Mentor Recital,74,other event,Lyman Hall
4/26/13,8:00 PM,Orch/Choir,370,,Little Bridges
4/28/13,3:00 PM,Orch/Choir,275+,bad parking,Little Bridges
4/29/13,8:00 PM,Afro-Cuban Drumming,??,,Lyman Hall
5/2/13,8:00 PM,Glee Club,185,,Little Bridges
5/3/13,8:00 PM,Jazz,102,,Lyman Hall
5/4/13,11:00 AM,Band,284,Alumni Weekend,Little Bridges
5/4/13,1:15 PM,Glee Club,320,Alumni Weekend,Little Bridges
5/5/13,8:00 PM,Band,70,,Little Bridges
5/6/13,8:00 PM,Gamelan,199,,Little Bridges
5/7/13,7:00 PM,Student Recital,55,,Lyman Hall
5/8/13,7:00 PM,Student Recital,64,,Lyman Hall
,,,,,
,,,,,
,,,,,
,,,,,
