Date,Time,Event,Count,Notes,Location,Reception Notes
Sun. Sept. 13,3pm,Celliola,155,hot,Little Bridges,
Sat. Sept. 26,8pm,Music of RC Seeger,154,,Little Bridges,Perfect reception food amount
Sun. Sept. 27,3pm,Chamber Music Extrava,249,,Little Bridges,Perfect reception food amount
Sat. Oct. 2,8pm,PC Orchestra,203,,Little Bridges,
Sun. Oct. 4,3pm,PC Orchestra,268,,Little Bridges,
Sat. Oct. 10,8pm,Chalifour,380,,Little Bridges,
Sun. Nov. 1,3pm,Beethoven Sonatas/Lee,282,,Little Bridges,
Fri. Nov. 6,8pm,Senior Recital - Ryan Luo,116,,Little Bridges,
Sun. Nov. 8,3pm,Trio Fugu,137,,Little Bridges,
Fri. Nov. 13,8pm,Band,86,[attack on Paris],Little Bridges,
Sat. Nov. 14,8pm,KRONOS,420/3-vip & 417-ga,has 79 tix avail. & unused,Little Bridges,
Sun. Nov. 15,8pm,Band,143,,Little Bridges,
Fri. Nov. 20,8pm,PC Orchestra,201,,Little Bridges,
Sat. Nov. 21,8pm,LA Chamber/Bach,190,,Little Bridges,
Sun. Nov. 22,3pm,PC Orchestra,304,,Little Bridges,
Tues. Nov. 24,4:30 PM,Jazz,215,,Lyman Hall,
Mon. Nov. 30,8pm,Afro-Cuban,71,,Lyman Hall,
Fri. Dec. 4,8pm,PCC,290,,Little Bridges,
Sun. Dec. 6,3pm,PCC,298,,Little Bridges,
Mon. Dec. 7,8pm,Gamelan,122,,Little Bridges,
Tues. Dec. 8,7pm,Student Recital,44,,Lyman Hall,
Wed. Dec. 9,7pm,Student Recital,51,,Lyman Hall,
,,,,,,
Fri. Jan 29,8pm,"Lee: Debussy, Kohn & Ung",239,,Bridges Hall of Music,
Fri. Feb. 5,8pm,Ussachevsky Concert,79,,Lyman Hall,
Sat. Feb. 6,8pm,Ussachevsky Concert,c. 50,,Lyman Hall,
Fri. Feb. 12,8pm,Alumnipalooza,266,,Bridges Hall of Music,
Sat. Feb. 13,8pm,Plucked String,185,,Bridges Hall of Music,
Sat. Feb. 20,8pm,LA Harpette,240,,Bridges Hall of Music,
Fri. Feb. 26,8pm,PCO,219,,Bridges Hall of Music,
Sat. Feb. 27,8pm,"Alex Woods, Soph Recital",59,,Lyman Hall,
Sun Feb. 28,3pm,PCO,317,,Bridges Hall of Music,
Wed. Mar. 2,7pm,Student Recital,?,,Lyman Hall,
Fri. Mar. 4,8 p.m.,Alex Chong Sr. Recital,111,,Bridges Hall of Music,
Sun. Mar. 6,3pm,Lytle and Lee Recital,147,,Bridges Hall of Music,
Tues. Mar. 8,4:30pm,Jazz Ensemble,156,,Lyman Hall,
Wed. Mar. 23,4:15 PM,Mande Music L/D,60,,Lyman Hall,
Wed. Mar. 30,4:15 PM,Curtis Wright L/D,95,,Lyman Hall,
Fri. April 1,7pm,Li & Lee Sr. Recital,84,,Lyman Hall,
Sat. April 2,8pm,Lee & Kallay,121,,Bridges Hall of Music,
Sun. April 3,3pm,Zabava!,160,,Bridges Hall of Music,
Wed. April 6,7pm,Student Recital,71,,Lyman Hall,
Fri. April 8,7:47pm,Piano Class Recital,89,,Lyman Hall,
Sun. April 10,3pm,Peterson Recital,cancelled,,Bridges Hall of Music,
Fri. April 15,8pm,Choir/Orchestra Concert,367,,Bridges Hall of Music,
Sun. April 17,3pm,Choir/Orchestra Concert,470,,Bridges Hall of Music,
Sat. April 23,8pm,Millennium Consort,150,,Bridges Hall of Music,
Sun. April 24,8pm,Jung Trio,cancelled,,Bridges Hall of Music,
Mon. April 25,8:15pm,Afro-Cuban,131,,Lyman Hall,
Thurs. April 28,8pm,Glee Club Concert,183,,Bridges Hall of Music,
Fri. April 29,8pm,Jazz Ensemble,279,,Bridges Hall of Music,
Sat. April 30 ,11am,Band Concert,201,,Bridges Hall of Music,
Sat. April 30 ,1:30pm,Glee Club Concert,547,,Bridges Hall of Music,
Sun. May 1,9:30am,Alumni Memorial Service,87,,Bridges Hall of Music,
Sun. May 1,8pm,Band Concert,97,,Bridges Hall of Music,
Mon. May 2,8pm,Gamelan Concert,157,,Bridges Hall of Music,
Tues. May 3,7pm,Student Recital,62,,Lyman Hall,
Wed. May 4,7pm,Student Recital,63,,Lyman Hall,
,,,,,,
Th May 19,9pm,Glee Tour,c. 50,rained all day,"Lecco, Basilica San Nicolo",
Sat May 21,7pm,Glee Tour,c. 100,,"Venice, Chiesa San Salvador",
Sun May 22,noon,Glee Tour,n/a,Mass Participation,"Venice, Basilica San Marco",
Tue. May 24,9pm,Glee Tour,c. 75,UNESCO performance,"Pisa, ",
Wed. May 25,9pm,Glee Tour,c. 95,,"Florence, Basilica Santa Trinita",
Fri. May 27,9pm,Glee Tour,c. 125,,"Rome, Chiesa San Marcello",
Sat. May 28,5pm,Glee Tour,n/a,Mass Participation,"Rome, Basilica San Pietro",
