Day/Date,Time,Event,Count,Notes,Location,Reception Notes
Sun. Aug. 28,evening,First Yr Book,630,,Little Bridges,
Tues. Aug. 30,11:00 AM,Convocation,664,FULL HOUSE!,Little Bridges,
Sun. Sept. 11,3pm,Celliola,179,,Little Bridges,home reception
Fri. Sept. 23,8pm,Brentano,289,,Little Bridges,Reception w/c.85 - food just about right
Sun. Sept. 25,3pm,Chamber Music Ext,238,,Little Bridges,
Sat. Oct. 1,10:30am,Lee Children's Concert,21/28,20 capacity by reservation,Little Bridges,
Sat. Oct. 1,8pm,Lee Recital,242,,Little Bridges,Reception - extra cookies dozen and some brownies
Fri. Oct. 7,8pm,PCO,262,counter acting up,Little Bridges,
Sat. Oct. 8,3pm ,Kwok Memorial,513,counter acting up,Little Bridges,
Sun. Oct. 9,3pm,PCO,340,counter acting up,Little Bridges,
Wed. Oct. 12,4:15pm,Merengue,59,,Lyman Hall,
Sat. Oct. 22,8pm,Kohn at 90,226,,Little Bridges,
Wed. Oct. 26,8:15pm,Student Recital,58,,Lyman Hall,
Sat. Oct. 29,8pm,Kallay,67,,Little Bridges,
Sun. Oct. 30,3pm,Jung Trio,224,,Little Bridges,
Sat. Nov. 5,8pm,Cascade of Pianos,338,I believe we were low on our count,Little Bridges,
Sun. Nov. 6,3pm,Modern Trio Sonata,113,,Little Bridges,
Fri. Nov. 11,4pm,Student Recital,42,,Lyman Hall,
Fri. Nov. 11,8pm,Band,163,,Little Bridges,
Sun. Nov. 13,3pm,Band,170,,Little Bridges,
Fri. Nov. 18,8pm,PCO,282,,Little Bridges,
Sun. Nov. 20,3pm,PCO,298,,Little Bridges,
Tues. Nov. 22,4:30pm,Jazz,256,,Lyman Hall,
Mon. Nov. 28,8pm,West African,126,,Lyman Hall,
Wed. Nov. 30,8pm,Student Recital,unknown,,Lyman Hall,
Fri. Dec. 2,8pm,PCC,332,,Little Bridges,
Sat. Dec. 3,,Clark Memorial,120,,Little Bridges,
Sun. Dec. 4,3pm,PCC,361,,Little Bridges,
Mon. Dec. 5,8pm,Gamelan,244,,Little Bridges,
Tues. Dec. 6,7pm,Student Recital,45,,Lyman Hall,
Wed. Dec. 7,7pm,Student Recital,27,,Lyman Hall,
,,,,,,
Fri. Feb. 3,8pm,Ussachevsky 1,58,,Lyman Hall,
Sat. Feb. 4,3pm,Ussachevsky Lect/Demo,13,,Lyman Hall,
Sat. Feb. 4,8pm,Ussachevsky 2,62,,Lyman Hall,
Sun. Feb. 5,3pm,"Peterson, organ",296,,Bridges Hall of M,
Sat. Feb. 11,8pm,Lee & Bahn,141,,Bridges Hall of M,
Sun.  Feb. 12,3pm,Ming & Friends,110,,Bridges Hall of M,
Wed. Feb. 15,8:15pm,Student Recital,28,,Lyman Hall,
Sat. Feb. 18,8pm,Chamber Orchestra,239,,Bridges Hall of M,
Fri. Feb. 24,8pm,PCO,289,,Bridges Hall of M,
Sun. Feb. 26,3pm,PCO,324+,,Bridges Hall of M,
Wed. Mar. 1,8:15pm,Student Recital,38,,Lyman Hall,
Sat. Mar. 4,8pm,Eclipse +,132,,Bridges Hall of M,
Sun. Mar. 5,3pm,Brass Extravaganza,176,,Bridges Hall of M,
Tues. Mar. 7,4:30pm,Jazz Ens. & Combos,225,,Lyman Hall,
Sun. Mar. 26,3pm,Cornucopia,296,,Bridges Hall of M,
Wed. Mar. 29,8:15pm,Student Recital,56,,Lyman Hall,
Sat. April 1 ,3pm,Piano Trio (Mojave),178,,Bridges Hall of M,
Sun. April 2,8pm,Givens,115,,Bridges Hall of M,
Fri. April 7,9pm,"Sun, Jr. Recital",89,,Lyman Hall,
Sat. April 8,8pm,"Woods, Jr. Recital",51,,Lyman Hall,
Fri. April 14,8pm,PCO & PCC,501,,Bridges Hall of M,
Sun. April 16,3pm,PCO & PCC,513,,Bridges Hall of M,
Tues. April 18,8:15pm,Student Recital,37,,Lyman Hall,
Fri. April 21,8pm,"Evan & Eric, Jr. Recital",64,,Lyman Hall,
Mon. Aprl 25,8:15pm,Afro-Cuban,91,,Lyman Hall,
Thurs. April 27,8pm,Glee,206,,Bridges Hall of M,
Fri. April 28,8pm,Jazz w/guest,355,Alumni Weekend,Bridges Hall of M,
Sat. April 29,11am,Band,203,Alumni Weekend,Bridges Hall of M,
Sat. April 29,1:30pm,Glee,410,Alumni Weekend,Bridges Hall of M,
Sun. April 30,8pm,Band,143,,Bridges Hall of M,
Mon. May 1,8pm,Gamelan,c.155,,Bridges Hall of M,
Tues. May 2,7pm,Student Recital,81,,Lyman Hall,
Wed. May 3,7pm,Student Recital,82,,Lyman Hall,
Wed. May 17,7pm,Glee Tour,176,Hood River,Riverside Community (C. Fick),
Fri. May 19,7pm,Glee Tour,55,Medford,Medford UCC (N. Tutland),
Sat. May 20,6:30pm,Glee Tour,156,Salem,Capital Manor Sr. Retirement Community,
Mon. May 22,7pm,Glee Tour,150,Salem,St. Paul's Episcopal (W. Curtis),
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
