Date,Time,Event,Count,Notes,Location
Tues. Sept. 5,11:00 AM,Convocation,600+ FULL,overflow to Lyman Hall,Little Bridges
Fri. Sept. 8,4pm,Walwyn Lecture,,,Lyman Hall
Sun. Sept. 10,3pm,Celliola,156,,Little Bridges
Wed. 9/13,eve,Book lecture,214,,Little Bridges
Fri. Sept. 15,8pm,Jung & Tsai,129,,Little Bridges
Sun. Sept. 17,3pm,Möller & Fraticelli Guitar Duo,208,,Little Bridges
Sat. Sept. 23,8pm,"N. Ford ""ORFEUS""",302,,Little Bridges
Sat. Sept. 30,8pm,Lee Solo recital,129,,Little Bridges
Sun. Oct. 1,2pm,Memorial - Bell,83,,Little Bridges
Fri. Oct. 6,8pm,PCO,285,,Little Bridges
Sat. Oct. 7,3pm ,Inaugural Kick-off Concert,184,,Little Bridges
Sun. Oct. 8,3pm,PCO,275,,Little Bridges
Wed. Oct. 11,8:15pm,Student Recital,28,short recital,Lyman Hall
Sun. Oct. 22,3pm,Bovyer & Lee-Brahms,132,,Little Bridges
Wed. Oct. 25,8:15pm,Student Recital,35,,Lyman Hall
Fri. Nov. 3,4:30pm,Taiko Drumming (concert),119,Sponsored by Asian American Studies ,Lyman Hall
Tues. Nov. 7,8:30pm,"Doc: ""…untouchable drum""",--,,Smith CC/Rose Thea.
Wed. Nov. 8,4:15pm,Sherinian Lecture,37,,Lyman Hall
Fri. Nov. 10,4pm,Student Recital,54,,Lyman Hall
Fri. Nov. 10,8pm,Band,125,,Little Bridges
Sat. Nov. 11,8pm,Wood's Sr. Recital,131 (est),,Little Bridges
Sun. Nov. 12,3pm,Band,135,,Little Bridges
Fri. Nov. 17,8pm,PCO,256,,Little Bridges
Sat. Nov. 18,8pm,Berman,236,,Little Bridges
Sun. Nov. 19,3pm,PCO,333,,Little Bridges
Tues. Nov. 21,4:30pm,Jazz,244 - full,,Lyman Hall
Mon. Nov. 27,8pm,West African,134,,Lyman Hall
Wed. Nov. 29,7pm,Student Recital,46,,Lyman Hall
Fri. Dec. 1,8pm,PCC,c.279,,Little Bridges
Sun. Dec. 3,3pm,PCC,327,,Little Bridges
Mon. Dec. 4,8pm,Gamelan,184,,Little Bridges
Tues. Dec. 5,7pm,Student Recital,56,,Lyman Hall
Wed. Dec. 6,7pm,Student Recital,66,,Lyman Hall
