Date,Time,Event,Count,Notes,Location
1/31/20,8pm,Ussachevsky 1,72,,Lyman Hall
2/1/20,3pm,Ussachevsky Lect/Demo,23,,Lyman Hall
2/1/20,8pm,Ussachevsky 2,73,,Lyman Hall
2/2/20,3pm,"Peterson, organ",105,,Bridges Hall of M
2/8/20,8pm,Lee,195,,Bridges Hall of M
2/14/20,12:15pm,FNC: Young & Chang,143,,Lyman Hall
2/14/20,8pm,PRISM,297,,Bridges Hall of M
2/19/20,8:15pm,Student Recital,31,,Lyman Hall
2/23/20,3pm,Mojave Trio,143,,Bridges Hall of M
2/26/20,4:15pm,Punjabi,120,,Lyman Hall
3/6/20,8pm,PCO,228,,Bridges Hall of M
3/8/20,3pm,PCO,247,,Bridges Hall of M
3/6/19,8:15pm,Student Recital,49,,Lyman Hall
3/7/19,,Z. Freeman Sr. Rec,68,,Lyman Hall
3/12/19,4:30pm,Jazz Ens. & Combos,80,limited to 5-C audience,Lyman Hall
3/13/19,8pm,Rostam,n/a COVID-19,Bridges Hall of M,
3/30/19,8pm,J. Taylor Sr. Rec/lect,n/a COVID-19,"private, online",Lyman Hall
3/31/19,8pm,Brandes & Moe,n/a COVID-19,Bridges Hall of M,
4/5/19,8pm,M. Cook Jr. Rec,n/a COVID-19,"private, online",Lyman Hall
4/7/19,8pm,Crumb/Lee,n/a COVID-19,Bridges Hall of M,
4/10/19,8:15pm,Student Recital,n/a COVID-19,Lyman Hall,
4/13/19,8pm,"K Guo, Sr. Rec.",n/a COVID-19,Lyman Hall,
4/19/19,8pm,PCO & PCC,n/a COVID-19,Bridges Hall of M,
4/21/19,3pm,PCO & PCC,n/a COVID-19,Bridges Hall of M,
4/26/19,4pm,Student Recital,n/a COVID-19,Lyman Hall,
4/28/19,3pm,Blankenburg/Menzies,n/a COVID-19,Bridges Hall of M,
4/29/19,8:15pm,Afro-Cuban,n/a COVID-19,Lyman Hall,
5/1/19,8pm,Music From China,n/a COVID-19,Lyman Hall,
5/2/19,8pm,Glee,n/a COVID-19,Bridges Hall of M,
5/3/19,8pm,Jazz w/guest,n/a COVID-19,Bridges Hall of M,
5/4/19,11am,Band,n/a COVID-19,Bridges Hall of M,
5/4/19,1:30pm,Glee,n/a COVID-19,Bridges Hall of M,
5/5/19,3pm,Chamber Mus. Stud.Rec.,n/a COVID-19,Lyman Hall,
5/5/19,8pm,Band,n/a COVID-19,Bridges Hall of M,
5/6/19,8pm,Gamelan,n/a COVID-19,Bridges Hall of M,
5/7/19,7pm,Student Recital,n/a COVID-19,Lyman Hall,
5/8/19,7pm,Student Recital,n/a COVID-19,Lyman Hall,
5/18/19,,Glee Sat. pre-com. program,n/a COVID-19,Bridges Hall of M,
