Day/Date,Time,Event,Total Count,Students,Notes,Location,Reception Notes
8/27/24,,Opening Convocation,10,,,Bridges Hall of Music,n/a
9/14/24,,Two Pianos,202,,,Bridges Hall of Music,n/a
9/15/24,,Celliola & Friends,136,,,Bridges Hall of Music,n/a
9/21/24,,Rachmaninoff Piano Duos,292,,,Bridges Hall of Music,n/a
9/22/24,,Fête musicale ,158,,,Bridges Hall of Music,n/a
9/25/24,,Student Recital,29,,,Lyman Hall,n/a
9/27/24,,FNC: Cornucopia,?,,,Lyman Hall,n/a
9/29/24,,Wm Peterson Organ Concert,250,,,Bridges Hall of Music,n/a
10/4/24,,Orchestra,300,,,Bridges Hall of Music,n/a
10/6/24,,Orchestra,352,,,Bridges Hall of Music,n/a
10/18/24,,FNC: Guastavino and Lutoslawski,82,,,Lyman Hall,n/a
10/18/24,,Artemesia,135,,,Bridges Hall of Music,n/a
10/25/24,,FNC: Mozart and Brubeck,114,,,Lyman Hall,n/a
10/26/24,,Eclipse Quartet,120,,,Bridges Hall of Music,n/a
10/27/24,,W. Zhao Organ Concert,181,,,Bridges Hall of Music,n/a
11/1/24,,Student Recital,51,,,Lyman Hall,n/a
11/2/24,,Genevieve Lee Solo,141,,,Bridges Hall of Music,n/a
11/8/24,,Band,113,,,Bridges Hall of Music,n/a
11/9/24,,Meredith Monk,220,,,Bridges Hall of Music,n/a
11/10/24,,Band,131,,,Bridges Hall of Music,n/a
11/15/24,,Choir,264,,,Bridges Hall of Music,n/a
11/17/24,,Choir,298,,,Bridges Hall of Music,n/a
11/19/24,,Jazz Ensemble,230,,plus 80-90 in lobby,Lyman Hall,n/a
11/20/24,,Musical Journeys,62,,,Lyman Hall,n/a
11/20/24,,Student Recital,52,,,Lyman Hall,n/a
11/22/24,,Orchestra,259,,,Bridges Hall of Music,n/a
11/23/24,,Crumb,94,,,Bridges Hall of Music,n/a
11/24/24,,Orchestra,334,,,Bridges Hall of Music,n/a
12/2/24,,Gamelan,160,,,Bridges Hall of Music,n/a
12/3/24,,Student Recital,62,,,Lyman Hall,n/a
12/4/24,,Student Recital,54,,,Lyman Hall,n/a
,,,,,,,
Day/Date,Time,Event,Total Count,Students,Notes,Location,Reception Notes
2/1/25,,Ussachevsky,69,,,Lyman Hall,n/a
2/12/25,,Student Recital,26,,,Lyman Hall,n/a
2/22/25,,Biber Sonatas,231,38,,Bridges Hall of Music,n/a
2/23/25,,Fête musicale ,145,14,,Bridges Hall of Music,n/a
2/28/25,,Student Recital,30,,,Lyman Hall,n/a
3/2/25,,Levinson/Fadial,197,33,,Bridges Hall of Music,n/a
3/5/25,,Rubab & Tabla,199,70,History Dept helped promote,Bridges Hall of Music,n/a
3/7/25,,Orchestra,218,108,,Bridges Hall of Music,n/a
3/9/25,,Orchestra,257,59,,Bridges Hall of Music,n/a
3/11/25,,Jazz,251,122,incl. ~25 in overflow room,Lyman Hall,n/a
3/12/25,,Senior Sounds,57,24,,Lyman Hall,n/a
4/4/25,,Brightwork/Hex,81,19,,Bridges Hall of Music,n/a
4/6/25,,Dai/Jung,148,22,,Bridges Hall of Music,n/a
4/11/25,,Student Recital,76,45,,Lyman Hall,n/a
4/16/25,,Senior Recital (Jesien),10,6,,Lyman Hall,n/a
4/18/25,,Choir/Orchestra,435,129,very tight seating; a few dozen turned away,Bridges Hall of Music,n/a
4/20/25,,Choir/Orchestra,468,105,very tight seating; a few dozen turned away,Bridges Hall of Music,n/a
4/23/25,,Senior Recital (Kokonas),42,23,,Lyman Hall,n/a
4/25/25,,Band,129,66,,Bridges Hall of Music,n/a
4/27/25,,Band,169,38,,Bridges Hall of Music,n/a
4/28/25,,Afro-Cuban,126,46,,Lyman Hall,n/a
4/30/25,,Student Recital,47,26,,Lyman Hall,n/a
5/1/25,,Glee Club,175,86,,Bridges Hall of Music,n/a
5/2/25,,Jazz,451,143,,Bridges Hall of Music,n/a
5/3/25,,Glee Club,468,32,lots of in and out due to class photos,Bridges Hall of Music,Perfect amount of food; slightly short on crackers
5/3/25,,Through the Gates,184,1,lots of in and out,Bridges Hall of Music,n/a
5/5/25,,Gamelan,146,61,,Bridges Hall of Music,n/a
5/6/25,,Student Recital,65,38,,Lyman Hall,n/a
5/7/25,,Student Recital,51,31,,Lyman Hall,n/a
5/17/25,,Music & Art / Glee Club,111,29,,Bridges Hall of Music,n/a
,,,,,,,
Glee Tour:,Oak Park,44,,,,,
,Chicago,62,,,,,
,"Cambridge,MA",66,,,,,
,NYC,100,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
