Date,Time,Event,Total Count,Students,Notes,Location
8/27/24,,Opening Convocation,10,,,Bridges Hall of Music
9/14/24,,Two Pianos,202,,,Bridges Hall of Music
9/15/24,,Celliola & Friends,136,,,Bridges Hall of Music
9/21/24,,Rachmaninoff Piano Duos,292,,,Bridges Hall of Music
9/22/24,,Fête musicale ,158,,,Bridges Hall of Music
9/25/24,,Student Recital,29,,,Lyman Hall
9/27/24,,FNC: Cornucopia,?,,,Lyman Hall
9/29/24,,Wm Peterson Organ Concert,250,,,Bridges Hall of Music
10/4/24,,Orchestra,300,,,Bridges Hall of Music
10/6/24,,Orchestra,352,,,Bridges Hall of Music
10/18/24,,FNC: Guastavino and Lutoslawski,82,,,Lyman Hall
10/18/24,,Artemesia,135,,,Bridges Hall of Music
10/25/24,,FNC: Mozart and Brubeck,114,,,Lyman Hall
10/26/24,,Eclipse Quartet,120,,,Bridges Hall of Music
10/27/24,,W. Zhao Organ Concert,181,,,Bridges Hall of Music
11/1/24,,Student Recital,51,,,Lyman Hall
11/2/24,,Genevieve Lee Solo,141,,,Bridges Hall of Music
11/8/24,,Band,113,,,Bridges Hall of Music
11/9/24,,Meredith Monk,220,,,Bridges Hall of Music
11/10/24,,Band,131,,,Bridges Hall of Music
11/15/24,,Choir,264,,,Bridges Hall of Music
11/17/24,,Choir,298,,,Bridges Hall of Music
11/19/24,,Jazz Ensemble,230,,plus 80-90 in lobby,Lyman Hall
11/20/24,,Musical Journeys,62,,,Lyman Hall
11/20/24,,Student Recital,52,,,Lyman Hall
11/22/24,,Orchestra,259,,,Bridges Hall of Music
11/23/24,,Crumb,94,,,Bridges Hall of Music
11/24/24,,Orchestra,334,,,Bridges Hall of Music
12/2/24,,Gamelan,160,,,Bridges Hall of Music
12/3/24,,Student Recital,62,,,Lyman Hall
12/4/24,,Student Recital,54,,,Lyman Hall
