Day/Date,Time,Event,Count,Notes,Location
1/27/24,8pm,Ray-Kallay duo,105,,Bridges Hall of Music
2/2/24,8pm,Ussachevsky,86,,Lyman Hall
2/3/24,8pm,Ussachevsky,83,15 for afternoon lecture/demo,Lyman Hall
2/10/24,8pm,Opera Prima,136,,Bridges Hall of Music
2/10/24,8pm,Lee Beethoven VI (Bahn),132,,Bridges Hall of Music
2/14/24,8pm,Student Recital,22? Or 40?,,Lyman Hall
2/16/24,12:15pm,Cornucopia,108,Friday Noon Concert,Lyman Hall
2/23/24,8pm,Orchestra & Choir,477,Beethoven 9,Bridges Hall of Music
2/25/24,3pm,Orchestra & Choir,550,Beethoven 9,Bridges Hall of Music
3/1/24,4pm,Student Recital,34,,Lyman Hall
3/2/24,8pm,Gamelan Merdu Kumala,124,,Bridges Hall of Music
3/3/24,3pm,Artifex & PRISM,165,,Bridges Hall of Music
3/22/24,8pm,Wm Peterson,153,,Bridges Hall of Music
3/5/24,4:30pm,Jazz,225,,Lyman Hall
3/24/24,3pm,Fête musicale ,152,,Bridges Hall of Music
3/30/24,8pm,Givens,106,,Bridges Hall of Music
3/30/24,4pm,M. Thacher-Sr. Project,10,,Lyman Hall
4/5/24,2pm,Student Recital,50,,Lyman Hall
4/7/24,3pm,Mojave Trio,168,,Bridges Hall of Music
4/12/24,8pm,Orchestra & Choir,234,,Bridges Hall of Music
4/13/24,7:47,Piano Ensemble/Lee Studio,67,,Lyman Hall
4/14/24,3pm,Orchestra & Choir,345,,Bridges Hall of Music
4/17/24,3:30pm,E. Lee-Sr. Recital,43,,Lyman Hall
4/19/24,8pm,Band,140,,Bridges Hall of Music
4/20/24,8pm,Manzanita Quartet,89,,Bridges Hall of Music
4/21/24,3pm,Band,149,,Bridges Hall of Music
4/22/24,8pm,Afro-Cuban,106,,Lyman Hall
4/25/24,8pm,Glee Club,202,,Bridges Hall of Music
4/26/24,afternoon,Alumni Pianos,not avail.,Alumni Weekend,Lyman Hall
4/26/24,8pm,Jazz Ensemble,283,Alumni Weekend,Bridges Hall of Music
4/27/24,1:30pm,Glee Club,365,Alumni Weekend,Bridges Hall of Music
4/29/24,8pm,Gamelan,174,,Bridges Hall of Music
4/30/24,7pm,Student Recital,44,,Lyman Hall
5/1/24,7pm,Student Recital,40,,Lyman Hall
,,,,,
Glee Tour:,,,,,
,5/15 - 7:30,"St. John's,Berkeley",130,,
,5/16 - 7:30,"1st Palo Alto, Palo Alto",140,,
,5/18 - 8:00,"Rose City Park, Portland",82,,
,5/20 - 7:30,"St. Stephen's, Seattle",105,,
