Day/Date,Time,Event,Total Count,Students,Notes,Location
2/1/25,,Ussachevsky,69,,,Lyman Hall
2/12/25,,Student Recital,26,,,Lyman Hall
2/22/25,,Biber Sonatas,231,38,,Bridges Hall of Music
2/23/25,,Fête musicale ,145,14,,Bridges Hall of Music
2/28/25,,Student Recital,30,,,Lyman Hall
3/2/25,,Levinson/Fadial,197,33,,Bridges Hall of Music
3/5/25,,Rubab & Tabla,199,70,History Dept helped promote,Bridges Hall of Music
3/7/25,,Orchestra,218,108,,Bridges Hall of Music
3/9/25,,Orchestra,257,59,,Bridges Hall of Music
3/11/25,,Jazz,251,122,incl. ~25 in overflow room,Lyman Hall
3/12/25,,Senior Sounds,57,24,,Lyman Hall
4/4/25,,Brightwork/Hex,81,19,,Bridges Hall of Music
4/6/25,,Dai/Jung,148,22,,Bridges Hall of Music
4/11/25,,Student Recital,76,45,,Lyman Hall
4/16/25,,Senior Recital (Jesien),10,6,,Lyman Hall
4/18/25,,Choir/Orchestra,435,129,very tight seating; a few dozen turned away,Bridges Hall of Music
4/20/25,,Choir/Orchestra,468,105,very tight seating; a few dozen turned away,Bridges Hall of Music
4/23/25,,Senior Recital (Kokonas),42,23,,Lyman Hall
4/25/25,,Band,129,66,,Bridges Hall of Music
4/27/25,,Band,169,38,,Bridges Hall of Music
4/28/25,,Afro-Cuban,126,46,,Lyman Hall
4/30/25,,Student Recital,47,26,,Lyman Hall
5/1/25,,Glee Club,175,86,,Bridges Hall of Music
5/2/25,,Jazz,451,143,,Bridges Hall of Music
5/3/25,,Glee Club,468,32,lots of in and out due to class photos,Bridges Hall of Music
5/3/25,,Through the Gates,184,1,lots of in and out,Bridges Hall of Music
5/5/25,,Gamelan,146,61,,Bridges Hall of Music
5/6/25,,Student Recital,65,38,,Lyman Hall
5/7/25,,Student Recital,51,31,,Lyman Hall
5/17/25,,Music & Art / Glee Club,111,29,,Bridges Hall of Music
,,,,,,
Glee Tour:,Oak Park,44,,,,
,Chicago,62,,,,
,"Cambridge,MA",66,,,,
,NYC,100,,,,
